version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.3.0,2013-05-29,1369856771,0,0,0,0,0,0,0,0,0,0,0,0
v0.3.3,2013-06-20,1371766458,0,0,0,0,0,0,0,0,0,0,0,0
v0.4.0,2013-07-17,1374086011,0,0,0,0,0,0,0,0,0,0,0,0
v0.4.1,2013-07-26,1374878032,0,0,0,0,0,0,0,0,0,0,0,0
v0.4.2,2013-12-17,1387346417,0,0,0,0,0,0,0,0,0,0,0,0
v0.5.0,2013-10-16,1381949077,0,0,0,0,0,0,0,0,0,0,0,0
v0.5.1,2013-10-29,1383072406,0,0,0,0,0,0,0,0,0,0,0,0
v0.5.2,2013-12-18,1387407177,0,0,0,0,0,0,0,0,0,0,0,0
v0.8.0,2013-12-19,1387478463,0,0,0,0,0,0,0,0,0,0,0,0
v0.10.0,2014-03-21,1395434042,0,0,0,0,0,0,0,0,0,0,0,0
v0.10.0-rc1,2014-03-18,1395205772,0,0,0,0,0,0,0,0,0,0,0,0
v0.11.0,2014-07-17,1405630026,0,0,0,0,0,0,0,0,0,0,0,0
v0.11.0-rc1,2014-07-12,1405219845,0,0,0,0,0,0,0,0,0,0,0,0
v0.11.1,2014-07-25,1406312952,0,0,0,0,0,0,0,0,0,0,0,0
v0.11.2,2014-09-16,1410890976,0,0,0,0,0,0,0,0,0,0,0,0
v0.12.0,2014-10-28,1414520621,0,0,0,0,0,0,0,0,0,0,0,0
v0.12.0-rc1,2014-10-16,1413496610,0,0,0,0,0,0,0,0,0,0,0,0
v0.12.1,2014-11-18,1416299426,0,0,0,0,0,0,0,0,0,0,0,0
v0.12.2,2014-12-18,1418935502,0,0,0,0,0,0,0,0,0,0,0,0
v0.9.0,2014-02-19,1392879030,0,0,0,0,0,0,0,0,0,0,0,0
v0.9.0-rc1,2014-02-16,1392601132,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.0,2015-03-10,1426023929,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.0-rc1,2015-02-22,1424640373,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.0-rc2,2015-03-03,1425411961,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.1,2015-03-16,1426549830,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.2,2015-04-18,1429396128,0,0,0,0,0,0,0,0,0,0,0,0
v0.13.3,2015-05-08,1431118429,0,0,0,0,0,0,0,0,0,0,0,0
v0.14.0,2015-10-07,1444238396,0,0,0,0,0,0,0,0,0,0,0,0
v0.14.0-beta1,2015-07-03,1435913195,0,0,0,0,0,0,0,0,0,0,0,0
v0.14.0-beta2,2015-07-30,1438316949,0,0,0,0,0,0,0,0,0,0,0,0
v0.14.0-beta3,2015-08-03,1438637064,0,0,0,0,0,0,0,0,0,0,0,0
v0.14.0-rc1,2015-09-10,1441900060,0,0,0,0,0,0,0,0,0,0,0,0
